品种名称,物种学名,物种中文名称
Ⅱ优63,Oryza sativa,水稻
盐恢559,Oryza sativa,水稻
晚3,Oryza sativa,水稻
蜀恢527,Oryza sativa,水稻
明恢77,Oryza sativa,水稻
明恢70,Oryza sativa,水稻
明恢63,Oryza sativa,水稻
绵恢725,Oryza sativa,水稻
Ⅱ优838,Oryza sativa,水稻
中优402,Oryza sativa,水稻
野香优航1573,Oryza sativa,水稻
巨胚813B,Oryza sativa,水稻
813geB,Oryza sativa,水稻
巨胚813A,Oryza sativa,水稻
813geA,Oryza sativa,水稻
八月糯,Oryza sativa,水稻
四川糯,Oryza sativa,水稻
红早糯,Oryza sativa,水稻
三粒寸,Oryza sativa,水稻
早籼米,Oryza sativa,水稻
岩头京,Oryza sativa,水稻
红籼,Oryza sativa,水稻
碑田倒,Oryza sativa,水稻
可路萨,Oryza sativa,水稻
Colusa,Oryza sativa,水稻
莱蒙特,Oryza sativa,水稻
Lemont,Oryza sativa,水稻
早黄稻,Oryza sativa,水稻
晏红稻,Oryza sativa,水稻
细红粳,Oryza sativa,水稻
Xihongjing,Oryza sativa,水稻
细秆荔枝红,Oryza sativa,水稻
细秆白稻,Oryza sativa,水稻
小红壳,Oryza sativa,水稻
小红稻,Oryza sativa,水稻
乌红谷,Oryza sativa,水稻
歪头红,Oryza sativa,水稻
铁头红,Oryza sativa,水稻
铁秆乌稻,Oryza sativa,水稻
铁秆老来青,Oryza sativa,水稻
太湖青,Oryza sativa,水稻
松谷红,Oryza sativa,水稻
霜降乌,Oryza sativa,水稻
霜降青,Oryza sativa,水稻
三千黄,Oryza sativa,水稻
特优009,Oryza sativa,水稻
嘉粳18,Oryza sativa,水稻
Jiajin18,Oryza sativa,水稻
京引142,Oryza sativa,水稻
Kusabue,Oryza sativa,水稻
半矮红,Oryza sativa,水稻
矮乌稻,Oryza sativa,水稻
矮脚红稻,Oryza sativa,水稻
矮脚黑头红,Oryza sativa,水稻
矮黄稻,Oryza sativa,水稻
Ⅱ优58,Oryza sativa,水稻
矮红稻,Oryza sativa,水稻
矮秆红,Oryza sativa,水稻
矮秆稻,Oryza sativa,水稻
五优305,Oryza sativa,水稻
紫香稻,Oryza sativa,水稻
叶里盘老来青,Oryza sativa,水稻
小白芒,Oryza sativa,水稻
乱种,Oryza sativa,水稻
荔枝红,Oryza sativa,水稻
老虎罗尖,Oryza sativa,水稻
黑种,Oryza sativa,水稻
哈哈笑,Oryza sativa,水稻
冬青稻,Oryza sativa,水稻
Baijing,Oryza sativa,水稻
早乌稻,Oryza sativa,水稻
博优253,Oryza sativa,水稻
早三黄,Oryza sativa,水稻
春优618,Oryza sativa,水稻
春江19A,Oryza sativa,水稻
辽02A,Oryza sativa,水稻
恩1S,Oryza sativa,水稻
长雄野生稻,Oryza sativa,水稻
Oryzalongistaminata,Oryza sativa,水稻
秀水24,Oryza sativa,水稻
金垦18,Oryza sativa,水稻
Jnken18,Oryza sativa,水稻
农虎19-1,Oryza sativa,水稻
丽水糯,Oryza sativa,水稻
爱武,Oryza sativa,水稻
温选青,Oryza sativa,水稻
温革,Oryza sativa,水稻
温189,Oryza sativa,水稻
珍龙13,Oryza sativa,水稻
早丰收,Oryza sativa,水稻
胜龙,Oryza sativa,水稻
军协,Oryza sativa,水稻
红松,Oryza sativa,水稻
徽州糯,Oryza sativa,水稻
Ⅱ优128,Oryza sativa,水稻
粤香占,Oryza sativa,水稻
Ⅱ优084,Oryza sativa,水稻
早丰,Oryza sativa,水稻
有芒早粳,Oryza sativa,水稻
Youmangzaojin,Oryza sativa,水稻
密阳46,Oryza sativa,水稻
珍珠矮11,Oryza sativa,水稻
矮脚南特,Oryza sativa,水稻
Aijiaoante,Oryza sativa,水稻
莲塘早,Oryza sativa,水稻
芦秆青,Oryza sativa,水稻
临海晚稻,Oryza sativa,水稻
金谷黄,Oryza sativa,水稻
江北晚粳,Oryza sativa,水稻
Jiangbeiwanjing,Oryza sativa,水稻
荒三百,Oryza sativa,水稻
红落稻,Oryza sativa,水稻
Hongludao,Oryza sativa,水稻
红壳,Oryza sativa,水稻
红红谷,Oryza sativa,水稻
黑壳落霜青,Oryza sativa,水稻
棺材青,Oryza sativa,水稻
改良一齐种,Oryza sativa,水稻
飞来凤,Oryza sativa,水稻
大叶落霜青,Oryza sativa,水稻
Dayeluoshuangaing,Oryza sativa,水稻
吹勿倒,Oryza sativa,水稻
长稻头,Oryza sativa,水稻
白洋稻,Oryza sativa,水稻
白壳长稻头,Oryza sativa,水稻
百哥稻,Oryza sativa,水稻
矮脚洋稻,Oryza sativa,水稻
矮脚田鸡青,Oryza sativa,水稻
矮脚太湖青,Oryza sativa,水稻
矮脚老来青,Oryza sativa,水稻
矮脚金老头,Oryza sativa,水稻
矮脚白,Oryza sativa,水稻
爱国稻,Oryza sativa,水稻
矮白稻,Oryza sativa,水稻
宜兴晚,Oryza sativa,水稻
安优101,Oryza sativa,水稻
印尼紫糯,Oryza sativa,水稻
KETANHITAM,Oryza sativa,水稻
辐8-1,Oryza sativa,水稻
竹金穗,Oryza sativa,水稻
竹莲矮,Oryza sativa,水稻
中秆早,Oryza sativa,水稻
浙852,Oryza sativa,水稻
浙733,Oryza sativa,水稻
辐769,Oryza sativa,水稻
辐756,Oryza sativa,水稻
二九青,Oryza sativa,水稻
不脱矮,Oryza sativa,水稻
矮珍,Oryza sativa,水稻
祥湖47,Oryza sativa,水稻
祥湖24,Oryza sativa,水稻
宁1318,Oryza sativa,水稻
浙农大40,Oryza sativa,水稻
农红73,Oryza sativa,水稻
秀水115,Oryza sativa,水稻
秀水48,Oryza sativa,水稻
秀水46,Oryza sativa,水稻
Xushui46,Oryza sativa,水稻
光粒籼,Oryza sativa,水稻
三百粒籼,Oryza sativa,水稻
晚京,Oryza sativa,水稻
西瓜红,Oryza sativa,水稻
万金,Oryza sativa,水稻
三株京,Oryza sativa,水稻
缙云稻,Oryza sativa,水稻
迟晚京,Oryza sativa,水稻
爱三京,Oryza sativa,水稻
斜八石,Oryza sativa,水稻
细叶青,Oryza sativa,水稻
新齐籼,Oryza sativa,水稻
温州白稻,Oryza sativa,水稻
Wenzhoubaibao,Oryza sativa,水稻
三枝黄籼,Oryza sativa,水稻
三日齐,Oryza sativa,水稻
高树晚京,Oryza sativa,水稻
本地晚籼,Oryza sativa,水稻
杉原籼,Oryza sativa,水稻
山明青,Oryza sativa,水稻
迟熟禾,Oryza sativa,水稻
花谷,Oryza sativa,水稻
细秆晚青,Oryza sativa,水稻
红米晚青,Oryza sativa,水稻
泥鳅稻,Oryza sativa,水稻
秋田小町,Oryza sativa,水稻
Akitakomachi,Oryza sativa,水稻
32两优706,Oryza sativa,水稻
安优08,Oryza sativa,水稻
胡山糯,Oryza sativa,水稻
大糯,Oryza sativa,水稻
西洋糯,Oryza sativa,水稻
铁梗青,Oryza sativa,水稻
红毛大种,Oryza sativa,水稻
乌壳晚,Oryza sativa,水稻
三百粒,Oryza sativa,水稻
红尖谷,Oryza sativa,水稻
光生稻,Oryza sativa,水稻
矮大种,Oryza sativa,水稻
白云和,Oryza sativa,水稻
野猪粳,Oryza sativa,水稻
Yezhujing,Oryza sativa,水稻
麻雀粳,Oryza sativa,水稻
Maquejing,Oryza sativa,水稻
粳儿,Oryza sativa,水稻
Jinger,Oryza sativa,水稻
大吊粳,Oryza sativa,水稻
Dadiaojing,Oryza sativa,水稻
丽水百年粳,Oryza sativa,水稻
Lishuibainianjing,Oryza sativa,水稻
老晚谷,Oryza sativa,水稻
白壳稻,Oryza sativa,水稻
野猪毛,Oryza sativa,水稻
乌壳稻,Oryza sativa,水稻
红须粳,Oryza sativa,水稻
Hongxujing,Oryza sativa,水稻
黄岩晚,Oryza sativa,水稻
无芒雪里乌,Oryza sativa,水稻
牛毛黄,Oryza sativa,水稻
芦花白,Oryza sativa,水稻
湖干红,Oryza sativa,水稻
黄落种,Oryza sativa,水稻
红壳晚,Oryza sativa,水稻
红壳大种,Oryza sativa,水稻
二黄稻,Oryza sativa,水稻
香血稻515,Oryza sativa,水稻
Xiangxuedao515,Oryza sativa,水稻
花2优3301,Oryza sativa,水稻
籼小占,Oryza sativa,水稻
特籼占25,Oryza sativa,水稻
香两优68,Oryza sativa,水稻
双七占,Oryza sativa,水稻
广占63S,Oryza sativa,水稻
培矮64S,Oryza sativa,水稻
漳龙9104,Oryza sativa,水稻
荃优727,Oryza sativa,水稻
元亨S,Oryza sativa,水稻
密阳83,Oryza sativa,水稻
Milyang83,Oryza sativa,水稻
早花秋,Oryza sativa,水稻
处香籼,Oryza sativa,水稻
乌节谷,Oryza sativa,水稻
冷水白,Oryza sativa,水稻
江西白,Oryza sativa,水稻
建德白,Oryza sativa,水稻
橙黄谷,Oryza sativa,水稻
马尾籼,Oryza sativa,水稻
大帽子头,Oryza sativa,水稻
Damaoxitou,Oryza sativa,水稻
小暑白,Oryza sativa,水稻
白谷坟头京,Oryza sativa,水稻
Baiguwentoujing,Oryza sativa,水稻
叶里壳,Oryza sativa,水稻
诸暨早,Oryza sativa,水稻
六十日,Oryza sativa,水稻
齐头黄,Oryza sativa,水稻
黑里壳,Oryza sativa,水稻
老红稻,Oryza sativa,水稻
台中65,Oryza sativa,水稻
Taichung65,Oryza sativa,水稻
石轮棒,Oryza sativa,水稻
Cilaunboloye,Oryza sativa,水稻
齐头乌,Oryza sativa,水稻
齐头红,Oryza sativa,水稻
青梗晚稻,Oryza sativa,水稻
Qingengwandao,Oryza sativa,水稻
青稻,Oryza sativa,水稻
嫩谷红,Oryza sativa,水稻
矮脚落霜青,Oryza sativa,水稻
芦秆黄,Oryza sativa,水稻
芦柴黄,Oryza sativa,水稻
Luchahuang,Oryza sativa,水稻
苦红谷,Oryza sativa,水稻
金鸡脚,Oryza sativa,水稻
鸡脚乌,Oryza sativa,水稻
江北黑头红,Oryza sativa,水稻
花壳粳,Oryza sativa,水稻
Huakejing,Oryza sativa,水稻
红里青,Oryza sativa,水稻
红壳雪里青,Oryza sativa,水稻
红谷种,Oryza sativa,水稻
黑头红,Oryza sativa,水稻
好甩红谷,Oryza sativa,水稻
柑棵红,Oryza sativa,水稻
柑桔黄,Oryza sativa,水稻
Ganjuhuang,Oryza sativa,水稻
堆堆晚,Oryza sativa,水稻
大黄种,Oryza sativa,水稻
粗子白稻,Oryza sativa,水稻
粗谷荔枝红,Oryza sativa,水稻
粗管芦稻,Oryza sativa,水稻
长乌稻,Oryza sativa,水稻
长红稻,Oryza sativa,水稻
半硬谷红,Oryza sativa,水稻
半长红,Oryza sativa,水稻
信粳1787,Oryza sativa,水稻
Xinjing1787,Oryza sativa,水稻
泰恢808,Oryza sativa,水稻
巨风优650,Oryza sativa,水稻
通梅892,Oryza sativa,水稻
竹云糯,Oryza sativa,水稻
中紫粳,Oryza sativa,水稻
Zhongzijing,Oryza sativa,水稻
紫香糯,Oryza sativa,水稻
香粳稻,Oryza sativa,水稻
Xiangjingdao,Oryza sativa,水稻
金优402,Oryza sativa,水稻
金优974,Oryza sativa,水稻
金优207,Oryza sativa,水稻
早晚稻,Oryza sativa,水稻
早齐家青,Oryza sativa,水稻
早黑头红,Oryza sativa,水稻
一穗种,Oryza sativa,水稻
Yishuizhong,Oryza sativa,水稻
严墓种,Oryza sativa,水稻
雪里青,Oryza sativa,水稻
细秆黄稻,Oryza sativa,水稻
小洋稻,Oryza sativa,水稻
小白种,Oryza sativa,水稻
乌头红,Oryza sativa,水稻
晚南稻,Oryza sativa,水稻
晚粳稻,Oryza sativa,水稻
Wanjingdao,Oryza sativa,水稻
晚红谷,Oryza sativa,水稻
土洋稻,Oryza sativa,水稻
Tuangdao,Oryza sativa,水稻
推子稻,Oryza sativa,水稻
苏联稻,Oryza sativa,水稻
四光头种,Oryza sativa,水稻
霜打青迟日,Oryza sativa,水稻
Shuangdaqingchishiri,Oryza sativa,水稻
麦夹种,Oryza sativa,水稻
芦头稻,Oryza sativa,水稻
D优68,Oryza sativa,水稻
矮泰引-3,Oryza sativa,水稻
Aitaiyin3,Oryza sativa,水稻
荃优822,Oryza sativa,水稻
田两优402,Oryza sativa,水稻
恒丰优28,Oryza sativa,水稻
辛尼斯,Oryza sativa,水稻
Zenith,Oryza sativa,水稻
丰八占,Oryza sativa,水稻
二九多,Oryza sativa,水稻
矮硬头京,Oryza sativa,水稻
早籼141,Oryza sativa,水稻
七一早,Oryza sativa,水稻
D优527,Oryza sativa,水稻
红突31,Oryza sativa,水稻
青马早,Oryza sativa,水稻
浙辐802,Oryza sativa,水稻
科梅,Oryza sativa,水稻
冈优725,Oryza sativa,水稻
Ⅱ优501,Oryza sativa,水稻
Ⅱ优725,Oryza sativa,水稻
Xiangyou85,Oryza sativa,水稻
汕优64,Oryza sativa,水稻
Xiangyou64,Oryza sativa,水稻
硬颈谷,Oryza sativa,水稻
银河晚粳,Oryza sativa,水稻
Yinhewanjing,Oryza sativa,水稻
小种,Oryza sativa,水稻
田鸡青,Oryza sativa,水稻
陶墓种,Oryza sativa,水稻
松江种,Oryza sativa,水稻
绍兴种,Oryza sativa,水稻
三穗千,Oryza sativa,水稻
李子红,Oryza sativa,水稻
临海白壳晚,Oryza sativa,水稻
老勿死,Oryza sativa,水稻
金谷黄大种,Oryza sativa,水稻
茭白种,Oryza sativa,水稻
黄种,Oryza sativa,水稻
红壳稻,Oryza sativa,水稻
海大种,Oryza sativa,水稻
大种晚粳,Oryza sativa,水稻
Dazhongwanjing,Oryza sativa,水稻
大种,Oryza sativa,水稻
赤壳晚稻,Oryza sativa,水稻
白壳小种,Oryza sativa,水稻
白壳大种,Oryza sativa,水稻
矮脚黄稻,Oryza sativa,水稻
寒糯,Oryza sativa,水稻
木樨球,Oryza sativa,水稻
穗三千,Oryza sativa,水稻
寿昌馒谷,Oryza sativa,水稻
铁秋,Oryza sativa,水稻
花壳秋,Oryza sativa,水稻
矮南早39,Oryza sativa,水稻
早莲31,Oryza sativa,水稻
珍圭51,Oryza sativa,水稻
庆早44,Oryza sativa,水稻
嘉籼222,Oryza sativa,水稻
二九丰,Oryza sativa,水稻
矮庆32,Oryza sativa,水稻
山林晚,Oryza sativa,水稻
山林陆稻,Oryza sativa,水稻
山谷,Oryza sativa,水稻
平阳白糯,Oryza sativa,水稻
泥块锤,Oryza sativa,水稻
红芒糯,Oryza sativa,水稻
红毛糯,Oryza sativa,水稻
大冬糯,Oryza sativa,水稻
白糯,Oryza sativa,水稻
乌珠糯,Oryza sativa,水稻
早白糯谷,Oryza sativa,水稻
乌咀晚,Oryza sativa,水稻
Wuzuiwan,Oryza sativa,水稻
红芒谷,Oryza sativa,水稻
当地糯,Oryza sativa,水稻
矮箕白壳糯,Oryza sativa,水稻
Baikenuo,Oryza sativa,水稻
长毛糯,Oryza sativa,水稻
黄糯,Oryza sativa,水稻
红壳糯,Oryza sativa,水稻
扬籼优918,Oryza sativa,水稻
RW8,Oryza sativa,水稻
浙恢1578,Oryza sativa,水稻
星88S,Oryza sativa,水稻
镇籼2S,Oryza sativa,水稻
福228S,Oryza sativa,水稻
喜08S,Oryza sativa,水稻
喜06S,Oryza sativa,水稻
5HR108,Oryza sativa,水稻
5HR015,Oryza sativa,水稻
5HR004,Oryza sativa,水稻
R113,Oryza sativa,水稻
优恢131,Oryza sativa,水稻
软华优131,Oryza sativa,水稻
野香优12,Oryza sativa,水稻
满香优905,Oryza sativa,水稻
徽两优183,Oryza sativa,水稻
春两优29,Oryza sativa,水稻
川浙优908,Oryza sativa,水稻
R9938,Oryza sativa,水稻
田油占101,Oryza sativa,水稻
银儿,Oryza sativa,水稻
小粒野生稻,Oryza sativa,水稻
R莉晶,Oryza sativa,水稻
景圻A,Oryza sativa,水稻
景圻B,Oryza sativa,水稻
96-96,Oryza sativa,水稻
朝科35,Oryza sativa,水稻
黎明,Oryza sativa,水稻
农林177,Oryza sativa,水稻
京引177,Oryza sativa,水稻
藤系70,Oryza sativa,水稻
汉中香糯,Oryza sativa,水稻
合江14,Oryza sativa,水稻
合交602,Oryza sativa,水稻
G202,Oryza sativa,水稻
惠优占,Oryza sativa,水稻
D奇宝A,Oryza sativa,水稻
中优158,Oryza sativa,水稻
庄研7,Oryza sativa,水稻
西农8116,Oryza sativa,水稻
1981/1/6,Oryza sativa,水稻
广二选三,Oryza sativa,水稻
D宝A,Oryza sativa,水稻
青桂矮5,Oryza sativa,水稻
青桂5,Oryza sativa,水稻
冀粳6,Oryza sativa,水稻
垦系2,Oryza sativa,水稻
永粳1,Oryza sativa,水稻
03-5,Oryza sativa,水稻
广九6,Oryza sativa,水稻
盐粳902-20-1,Oryza sativa,水稻
05占,Oryza sativa,水稻
怀早1,Oryza sativa,水稻
528-4,Oryza sativa,水稻
红世早,Oryza sativa,水稻
花寒早,Oryza sativa,水稻
晚青,Oryza sativa,水稻
钢枝占,Oryza sativa,水稻
秀江早48,Oryza sativa,水稻
双丰8,Oryza sativa,水稻
广二选二,Oryza sativa,水稻
中18S,Oryza sativa,水稻
全151S,Oryza sativa,水稻
荃恢5,Oryza sativa,水稻
YR53213,Oryza sativa,水稻
YR929,Oryza sativa,水稻
望恢1200,Oryza sativa,水稻
望恢517,Oryza sativa,水稻
望恢1068,Oryza sativa,水稻
888S,Oryza sativa,水稻
中种恢90,Oryza sativa,水稻
中种芯1S,Oryza sativa,水稻
中种918,Oryza sativa,水稻
中种1302,Oryza sativa,水稻
中种黄润占,Oryza sativa,水稻
润A,Oryza sativa,水稻
广恢1008,Oryza sativa,水稻
新泰A,Oryza sativa,水稻
桂恢581,Oryza sativa,水稻
桂恢963,Oryza sativa,水稻
野抗R1,Oryza sativa,水稻
野抗R171,Oryza sativa,水稻
桂恢780,Oryza sativa,水稻
桂恢760,Oryza sativa,水稻
桂恢717,Oryza sativa,水稻
华恢12,Oryza sativa,水稻
华恢71,Oryza sativa,水稻
恢7,Oryza sativa,水稻
H7,Oryza sativa,水稻
晶两优836,Oryza sativa,水稻
煜两优415,Oryza sativa,水稻
龙粳3407,Oryza sativa,水稻
莲汇2005,Oryza sativa,水稻
稻香4,Oryza sativa,水稻
倍育3,Oryza sativa,水稻
惠生黑稻,Oryza sativa,水稻
承泽2,Oryza sativa,水稻
稼禾8,Oryza sativa,水稻
稼禾6,Oryza sativa,水稻
天盈8,Oryza sativa,水稻
富稻6,Oryza sativa,水稻
龙粳1656,Oryza sativa,水稻
鸿源29,Oryza sativa,水稻
富稻1,Oryza sativa,水稻
东富204,Oryza sativa,水稻
松粳204,Oryza sativa,水稻
松粳48,Oryza sativa,水稻
东富107,Oryza sativa,水稻
富稻14,Oryza sativa,水稻
育龙34,Oryza sativa,水稻
莲育711,Oryza sativa,水稻
龙粳1740,Oryza sativa,水稻
龙庆稻31,Oryza sativa,水稻
丰硕3,Oryza sativa,水稻
盛昌1,Oryza sativa,水稻
禾兴稻1,Oryza sativa,水稻
龙稻124,Oryza sativa,水稻
东富105,Oryza sativa,水稻
珍宝香7,Oryza sativa,水稻
扬稻5,Oryza sativa,水稻
259,Oryza sativa,水稻
庆丰A,Oryza sativa,水稻
汕优18,Oryza sativa,水稻
汕优30,Oryza sativa,水稻
汕优1,Oryza sativa,水稻
四汕优30,Oryza sativa,水稻
汕优科30,Oryza sativa,水稻
汕优54选,Oryza sativa,水稻
四汕优63,Oryza sativa,水稻
新铁大2,Oryza sativa,水稻
南高广3,Oryza sativa,水稻
优Ⅰ71,Oryza sativa,水稻
汕优6216,Oryza sativa,水稻
汕优62-16,Oryza sativa,水稻
Ⅱ优4635,Oryza sativa,水稻
Ⅱ优160,Oryza sativa,水稻
Ⅱ优151,Oryza sativa,水稻
两优681,Oryza sativa,水稻
汕优253,Oryza sativa,水稻
优Ⅰ82,Oryza sativa,水稻
8优161,Oryza sativa,水稻
优Ⅰ974,Oryza sativa,水稻
Ⅰ优974,Oryza sativa,水稻
香优40,Oryza sativa,水稻
C两优4488,Oryza sativa,水稻
8401-2,Oryza sativa,水稻
Ⅱ优130,Oryza sativa,水稻
金优晚,Oryza sativa,水稻
博优1012,Oryza sativa,水稻
Ⅱ优57,Oryza sativa,水稻
华单998,Oryza sativa,水稻
华单995,Oryza sativa,水稻
特优557,Oryza sativa,水稻
云粳33,Oryza sativa,水稻
楚粳14,Oryza sativa,水稻
凤稻8,Oryza sativa,水稻
云粳27,Oryza sativa,水稻
86-167,Oryza sativa,水稻
88-635,Oryza sativa,水稻
合系15,Oryza sativa,水稻
云粳23,Oryza sativa,水稻
昆粳4,Oryza sativa,水稻
A210,Oryza sativa,水稻
沾粳6,Oryza sativa,水稻
合系5,Oryza sativa,水稻
合系10,Oryza sativa,水稻
楚粳6,Oryza sativa,水稻
轰杂135,Oryza sativa,水稻
175选3,Oryza sativa,水稻
79-219,Oryza sativa,水稻
沾糯1,Oryza sativa,水稻
云二天02,Oryza sativa,水稻
04-1267,Oryza sativa,水稻
云粳219,Oryza sativa,水稻
4-425,Oryza sativa,水稻
滇花2,Oryza sativa,水稻
云光12,Oryza sativa,水稻
云光8,Oryza sativa,水稻
榆杂29,Oryza sativa,水稻
滇杂粳2,Oryza sativa,水稻
陆引46,Oryza sativa,水稻
滇引陆稻2,Oryza sativa,水稻
云陆29,Oryza sativa,水稻
滇604,Oryza sativa,水稻
地白谷选-2,Oryza sativa,水稻
滇陆稻3,Oryza sativa,水稻
龙恢6387,Oryza sativa,水稻
浙糯1B,Oryza sativa,水稻
ZP01-169,Oryza sativa,水稻
香选54,Oryza sativa,水稻
粤禾A,Oryza sativa,水稻
粤禾B,Oryza sativa,水稻
南恢139,Oryza sativa,水稻
DZ139,Oryza sativa,水稻
神农5A,Oryza sativa,水稻
神农5B,Oryza sativa,水稻
黔糯1A,Oryza sativa,水稻
黔糯1B,Oryza sativa,水稻
金糯恢88,Oryza sativa,水稻
Q34S,Oryza sativa,水稻
Q33S,Oryza sativa,水稻
金单粳600,Oryza sativa,水稻
218S,Oryza sativa,水稻
培C312,Oryza sativa,水稻
L31020S,Oryza sativa,水稻
Z2028S,Oryza sativa,水稻
泰5S,Oryza sativa,水稻
兴农S,Oryza sativa,水稻
18B,Oryza sativa,水稻
R1125,Oryza sativa,水稻
辽143B,Oryza sativa,水稻
辽143A,Oryza sativa,水稻
万丰A,Oryza sativa,水稻
万丰B,Oryza sativa,水稻
泸恢107,Oryza sativa,水稻
安农086S,Oryza sativa,水稻
大丰9S,Oryza sativa,水稻
章糯恢3,Oryza sativa,水稻
章糯恢2,Oryza sativa,水稻
FR879,Oryza sativa,水稻
沃普2,Oryza sativa,水稻
莲育1010,Oryza sativa,水稻
洁田稻105,Oryza sativa,水稻
松粳34,Oryza sativa,水稻
莲汇1011,Oryza sativa,水稻
诺糯6,Oryza sativa,水稻
福黑9,Oryza sativa,水稻
ZR109,Oryza sativa,水稻
龙洋19,Oryza sativa,水稻
龙粳3084,Oryza sativa,水稻
晚香8098,Oryza sativa,水稻
楚糯2,Oryza sativa,水稻
卓越6,Oryza sativa,水稻
卓越2,Oryza sativa,水稻
巨基3,Oryza sativa,水稻
永旱粳8,Oryza sativa,水稻
永乐1801,Oryza sativa,水稻
鲁旱稻1,Oryza sativa,水稻
寒粳香1,Oryza sativa,水稻
研歌籼宝,Oryza sativa,水稻
永丰6,Oryza sativa,水稻
金黄恋1,Oryza sativa,水稻
R6568,Oryza sativa,水稻
粤籼丝苗,Oryza sativa,水稻
奥R666,Oryza sativa,水稻
追求A,Oryza sativa,水稻
金恢116,Oryza sativa,水稻
聚两优53,Oryza sativa,水稻
裕优T95,Oryza sativa,水稻
中发优9822,Oryza sativa,水稻
靓优香,Oryza sativa,水稻
华航香银针,Oryza sativa,水稻
深香优6615,Oryza sativa,水稻
增香优南香占,Oryza sativa,水稻
江农香占1,Oryza sativa,水稻
匠心香丝苗,Oryza sativa,水稻
软华优7311,Oryza sativa,水稻
万占香丝苗1,Oryza sativa,水稻
双牙香占,Oryza sativa,水稻
合红占2,Oryza sativa,水稻
兴两优红晶占,Oryza sativa,水稻
金恒优5522,Oryza sativa,水稻
Ⅱ优5522,Oryza sativa,水稻
诚优荀占,Oryza sativa,水稻
南新优698,Oryza sativa,水稻
峰软优天弘丝苗,Oryza sativa,水稻
又美优金丝苗,Oryza sativa,水稻
贵优313,Oryza sativa,水稻
贵优117,Oryza sativa,水稻
峰软优49,Oryza sativa,水稻
春两优30,Oryza sativa,水稻
胜优083,Oryza sativa,水稻
臻两优785,Oryza sativa,水稻
广8优源美丝苗,Oryza sativa,水稻
峰软优天弘油占,Oryza sativa,水稻
泰丰优1132,Oryza sativa,水稻
中丝优银粘,Oryza sativa,水稻
鲁粳12,Oryza sativa,水稻
94-23,Oryza sativa,水稻
通特2,Oryza sativa,水稻
通特1,Oryza sativa,水稻
冀香糯1,Oryza sativa,水稻
垦育38,Oryza sativa,水稻
垦稻2017,Oryza sativa,水稻
冀粳5,Oryza sativa,水稻
冀粳3,Oryza sativa,水稻
红旗16,Oryza sativa,水稻
6011,Oryza sativa,水稻
冀粳2,Oryza sativa,水稻
冀粳杂1,Oryza sativa,水稻
冀粳7,Oryza sativa,水稻
河大77-2,Oryza sativa,水稻
良丰优339,Oryza sativa,水稻
蜀香958,Oryza sativa,水稻
蓉优8,Oryza sativa,水稻
万优2,Oryza sativa,水稻
万香优2,Oryza sativa,水稻
万优9,Oryza sativa,水稻
国豪国香12,Oryza sativa,水稻
绵香5优9937,Oryza sativa,水稻
汕优C98,Oryza sativa,水稻
皖稻11,Oryza sativa,水稻
西农优3,Oryza sativa,水稻
瑞优5,Oryza sativa,水稻
冈优缙恢1,Oryza sativa,水稻
Ⅱ优1539,Oryza sativa,水稻
D优704,Oryza sativa,水稻
垦稻21,Oryza sativa,水稻
垦04-951,Oryza sativa,水稻
