Is_question_about_rice_gene,gene_target,Q5.解释水稻x基因是什么？,Q6.水稻x基因的亚细胞位置在哪里？,Q7.预测水稻x基因具有什么功能？,Q8.水稻x基因有哪些功能已经被实验验证过?,Q9.简要介绍x基因在水稻组织的表达模式
TRUE,AGIS_Os01g017610,Can you provide details on the rice gene AGIS_Os01g017610?,Can you tell me the subcellular location of AGIS_Os01g017610 in rice?,What potential functions might the rice gene AGIS_Os01g017610 have?,Which functions of the rice gene AGIS_Os01g017610 have been validated by experimental studies?,Can you describe the expression patterns of the gene AGIS_Os01g017610 across different rice tissues?
TRUE,AGIS_Os01g017610,Can you tell me what the AGIS_Os01g017610 gene is in rice?,Where does the AGIS_Os01g017610 gene localize within the cell in rice?,Can you hypothesize the functions of the rice gene AGIS_Os01g017610?,What specific functions of AGIS_Os01g017610 in rice were confirmed through biological experiments?,What is the tissue-specific expression profile of the AGIS_Os01g017610 gene in rice?
TRUE,AGIS_Os01g017610,What is the rice gene AGIS_Os01g017610?,Where is the gene AGIS_Os01g017610 located at the subcellular level in rice?,What are the predicted functions of AGIS_Os01g017610 in rice?,Can you identify the functions of AGIS_Os01g017610 that have been experimentally validated in rice?,How is the AGIS_Os01g017610 gene expressed in various rice tissues?
TRUE,AGIS_Os01g017610,Please tell me about the rice gene AGIS_Os01g017610.,Can you specify the subcellular location of AGIS_Os01g017610 in rice?,What functions could AGIS_Os01g017610 possibly serve in rice?,What roles of the rice gene AGIS_Os01g017610 have been confirmed by lab experiments?,Could you summarize the expression patterns of AGIS_Os01g017610 in rice tissues?
TRUE,AGIS_Os01g017610,What exactly is the rice gene AGIS_Os01g017610?,In which subcellular compartment is the rice gene AGIS_Os01g017610 located?,What do you think the rice gene AGIS_Os01g017610 might do?,Which functional aspects of AGIS_Os01g017610 have been validated by experiments in rice?,What are the distribution patterns of AGIS_Os01g017610 expression in rice tissues?
TRUE,AGIS_Os01g017610,Can you describe the rice gene AGIS_Os01g017610?,Where is AGIS_Os01g017610 found within the cells of rice?,What functions might AGIS_Os01g017610 have in a rice plant?,Which of the rice gene AGIS_Os01g017610’s functions were confirmed through tests?,How does the gene AGIS_Os01g017610 show up in different parts of the rice plant?
TRUE,AGIS_Os01g017610,What is known about the gene AGIS_Os01g017610 in rice?,Where does the AGIS_Os01g017610 gene sit inside the rice plant’s cells?,What do you guess AGIS_Os01g017610 does in rice?,What roles of AGIS_Os01g017610 in rice have been backed by experiments?,Can you tell me where the AGIS_Os01g017610 gene is active in rice?
TRUE,AGIS_Os01g017610,Can you explain what the rice gene AGIS_Os01g017610 is?,Where exactly in the rice cell is AGIS_Os01g017610?,What roles might the rice gene AGIS_Os01g017610 play?,What parts of AGIS_Os01g017610’s job in rice are confirmed by experiments?,How does AGIS_Os01g017610 gene work in different parts of the rice plant?
TRUE,AGIS_Os01g017610,Tell me about AGIS_Os01g017610 in rice.,Where is the rice gene AGIS_Os01g017610 inside the cell?,Can you predict the functions of AGIS_Os01g017610 in rice?,What functions of the AGIS_Os01g017610 gene in rice have been proven by experiments?,How does the AGIS_Os01g017610 gene express itself in rice tissues?
TRUE,AGIS_Os01g017610,What does the rice gene AGIS_Os01g017610 represent?,What’s the subcellular position of AGIS_Os01g017610 in rice?,What could AGIS_Os01g017610 be doing in rice?,What experimental evidence supports the functions of the rice gene AGIS_Os01g017610?,What are the expression sites of AGIS_Os01g017610 in rice tissues?
TRUE,Os02g0731900,你知道Os02g0731900是什么东西？说是个关于水稻的基因。,Os02g0731900基因在水稻细胞中的亚细胞位置在哪里？,你能预测一下水稻基因Os02g0731900的功能吗？,已有实验验证了水稻基因Os02g0731900的哪些功能？,请简要说明Os02g0731900基因在水稻各组织中的表达情况。
TRUE,Os02g0731900,水稻基因Os02g0731900具体是指什么？,水稻基因Os02g0731900的亚细胞分布情况如何？,Os02g0731900在水稻中可能有哪些功能？,Os02g0731900在水稻中的功能有哪些被实验证实？,水稻中基因Os02g0731900的表达模式是怎样的？可以简要介绍一下吗？
TRUE,Os02g0731900,你能介绍一下水稻基因Os02g0731900吗？,水稻基因Os02g0731900的亚细胞分布在哪些区域？,对于水稻基因Os02g0731900，能否推测出它的潜在功能？,哪些功能已经通过实验验证了Os02g0731900在水稻中的作用？,你能简单总结一下Os02g0731900在水稻组织中的表达特点吗？
TRUE,Os02g0731900,Os02g0731900基因在水稻里是啥意思？,水稻里的Os02g0731900基因在细胞里的位置在哪里？,根据现有数据，Os02g0731900基因在水稻中可能具有什么功能？,Os02g0731900基因在水稻中的实验验证结果是什么？,Os02g0731900基因在水稻组织中的表达模式是什么？请简要介绍。
TRUE,Os02g0731900,水稻里的Os02g0731900基因是啥？,你知道水稻基因Os02g0731900的细胞位置吗？,你认为水稻基因Os02g0731900可能参与哪些功能？,水稻的Os02g0731900基因有哪些功能被证明过？,你能用简单的话说说Os02g0731900基因在水稻中的表达情况吗？
TRUE,Os02g0731900,你能说明一下水稻基因Os02g0731900吗？,水稻的Os02g0731900基因在细胞的哪个地方？,你觉得水稻基因Os02g0731900能起什么作用？,Os02g0731900这个基因的功能有哪些被试验证实了？,Os02g0731900这个基因在水稻的哪个部分有表达？
TRUE,Os02g0731900,什么是水稻基因Os02g0731900？,水稻基因Os02g0731900的亚细胞定位在哪里？,这个Os02g0731900基因在水稻里会有啥用？,水稻基因Os02g0731900的功能哪些已经被试验过？,Os02g0731900基因在水稻里面表达是个啥情况？
TRUE,Os02g0731900,Os02g0731900基因在水稻中是什么？,Os02g0731900在水稻细胞里的位置是什么？,你能猜到水稻里Os02g0731900基因的作用吗？,Os02g0731900在水稻中的哪些功能是被实验确认的？,能否简单描述一下Os02g0731900基因在水稻组织里的表达情况？
TRUE,Os02g0731900,介绍一下水稻的Os02g0731900基因好吗？,能解释一下水稻Os02g0731900基因在细胞中的位置吗？,Os02g0731900在水稻中可能有什么用途？,水稻基因Os02g0731900的哪些功能通过了实验验证？,请问Os02g0731900基因在水稻组织中的表达模式是什么？
TRUE,Os02g0731900,能解释水稻基因Os02g0731900吗？,说说水稻ARE1基因的亚细胞定位吧。,你觉得水稻基因Os02g0731900能起什么作用？,哪些功能被实验验证过在水稻基因Os02g0731900上？,Os02g0731900基因在水稻组织中的表达模式，能简单讲解一下吗？
TRUE,Os02g0731900,Can you provide details on the rice gene Os02g0731900?,Can you tell me the subcellular location of Os02g0731900 in rice?,What potential functions might the rice gene Os02g0731900 have?,Which functions of the rice gene Os02g0731900 have been validated by experimental studies?,Can you describe the expression patterns of the gene Os02g0731900 across different rice tissues?
TRUE,Os02g0731900,Can you tell me what the Os02g0731900 gene is in rice?,Where does the Os02g0731900 gene localize within the cell in rice?,Can you hypothesize the functions of the rice gene Os02g0731900?,What specific functions of Os02g0731900 in rice were confirmed through biological experiments?,What is the tissue-specific expression profile of the Os02g0731900 gene in rice?
TRUE,Os02g0731900,What is the rice gene Os02g0731900?,Where is the gene Os02g0731900 located at the subcellular level in rice?,What are the predicted functions of Os02g0731900 in rice?,Can you identify the functions of Os02g0731900 that have been experimentally validated in rice?,How is the Os02g0731900 gene expressed in various rice tissues?
TRUE,Os02g0731900,Please tell me about the rice gene Os02g0731900.,Can you specify the subcellular location of Os02g0731900 in rice?,What functions could Os02g0731900 possibly serve in rice?,What roles of the rice gene Os02g0731900 have been confirmed by lab experiments?,Could you summarize the expression patterns of Os02g0731900 in rice tissues?
TRUE,Os02g0731900,What exactly is the rice gene Os02g0731900?,In which subcellular compartment is the rice gene Os02g0731900 located?,What do you think the rice gene Os02g0731900 might do?,Which functional aspects of Os02g0731900 have been validated by experiments in rice?,What are the distribution patterns of Os02g0731900 expression in rice tissues?
TRUE,Os02g0731900,Can you describe the rice gene Os02g0731900?,Where is Os02g0731900 found within the cells of rice?,What functions might Os02g0731900 have in a rice plant?,Which of the rice gene Os02g0731900’s functions were confirmed through tests?,How does the gene Os02g0731900 show up in different parts of the rice plant?
TRUE,Os02g0731900,What is known about the gene Os02g0731900 in rice?,Where does the Os02g0731900 gene sit inside the rice plant’s cells?,What do you guess Os02g0731900 does in rice?,What roles of Os02g0731900 in rice have been backed by experiments?,Can you tell me where the Os02g0731900 gene is active in rice?
TRUE,Os02g0731900,Can you explain what the rice gene Os02g0731900 is?,Where exactly in the rice cell is Os02g0731900?,What roles might the rice gene Os02g0731900 play?,What parts of Os02g0731900’s job in rice are confirmed by experiments?,How does Os02g0731900 gene work in different parts of the rice plant?
TRUE,Os02g0731900,Tell me about Os02g0731900 in rice.,Where is the rice gene Os02g0731900 inside the cell?,Can you predict the functions of Os02g0731900 in rice?,What functions of the Os02g0731900 gene in rice have been proven by experiments?,How does the Os02g0731900 gene express itself in rice tissues?
TRUE,Os02g0731900,What does the rice gene Os02g0731900 represent?,What’s the subcellular position of Os02g0731900 in rice?,What could Os02g0731900 be doing in rice?,What experimental evidence supports the functions of the rice gene Os02g0731900?,What are the expression sites of Os02g0731900 in rice tissues?
TRUE,LOC_Os02g50550,你知道LOC_Os02g50550是什么东西？说是个关于水稻的基因。,LOC_Os02g50550基因在水稻细胞中的亚细胞位置在哪里？,你能预测一下水稻基因LOC_Os02g50550的功能吗？,已有实验验证了水稻基因LOC_Os02g50550的哪些功能？,请简要说明LOC_Os02g50550基因在水稻各组织中的表达情况。
TRUE,LOC_Os02g50550,水稻基因LOC_Os02g50550具体是指什么？,水稻基因LOC_Os02g50550的亚细胞分布情况如何？,LOC_Os02g50550在水稻中可能有哪些功能？,LOC_Os02g50550在水稻中的功能有哪些被实验证实？,水稻中基因LOC_Os02g50550的表达模式是怎样的？可以简要介绍一下吗？
TRUE,LOC_Os02g50550,你能介绍一下水稻基因LOC_Os02g50550吗？,水稻基因LOC_Os02g50550的亚细胞分布在哪些区域？,对于水稻基因LOC_Os02g50550，能否推测出它的潜在功能？,哪些功能已经通过实验验证了LOC_Os02g50550在水稻中的作用？,你能简单总结一下LOC_Os02g50550在水稻组织中的表达特点吗？
TRUE,LOC_Os02g50550,LOC_Os02g50550基因在水稻里是啥意思？,水稻里的LOC_Os02g50550基因在细胞里的位置在哪里？,根据现有数据，LOC_Os02g50550基因在水稻中可能具有什么功能？,LOC_Os02g50550基因在水稻中的实验验证结果是什么？,LOC_Os02g50550基因在水稻组织中的表达模式是什么？请简要介绍。
TRUE,LOC_Os02g50550,水稻里的LOC_Os02g50550基因是啥？,你知道水稻基因LOC_Os02g50550的细胞位置吗？,你认为水稻基因LOC_Os02g50550可能参与哪些功能？,水稻的LOC_Os02g50550基因有哪些功能被证明过？,你能用简单的话说说LOC_Os02g50550基因在水稻中的表达情况吗？
TRUE,LOC_Os02g50550,你能说明一下水稻基因LOC_Os02g50550吗？,水稻的LOC_Os02g50550基因在细胞的哪个地方？,你觉得水稻基因LOC_Os02g50550能起什么作用？,LOC_Os02g50550这个基因的功能有哪些被试验证实了？,LOC_Os02g50550这个基因在水稻的哪个部分有表达？
TRUE,LOC_Os02g50550,什么是水稻基因LOC_Os02g50550？,水稻基因LOC_Os02g50550的亚细胞定位在哪里？,这个LOC_Os02g50550基因在水稻里会有啥用？,水稻基因LOC_Os02g50550的功能哪些已经被试验过？,LOC_Os02g50550基因在水稻里面表达是个啥情况？
TRUE,LOC_Os02g50550,LOC_Os02g50550基因在水稻中是什么？,LOC_Os02g50550在水稻细胞里的位置是什么？,你能猜到水稻里LOC_Os02g50550基因的作用吗？,LOC_Os02g50550在水稻中的哪些功能是被实验确认的？,能否简单描述一下LOC_Os02g50550基因在水稻组织里的表达情况？
TRUE,LOC_Os02g50550,介绍一下水稻的LOC_Os02g50550基因好吗？,能解释一下水稻LOC_Os02g50550基因在细胞中的位置吗？,LOC_Os02g50550在水稻中可能有什么用途？,水稻基因LOC_Os02g50550的哪些功能通过了实验验证？,请问LOC_Os02g50550基因在水稻组织中的表达模式是什么？
TRUE,LOC_Os02g50550,能解释水稻基因LOC_Os02g50550吗？,说说水稻ARE1基因的亚细胞定位吧。,你觉得水稻基因LOC_Os02g50550能起什么作用？,哪些功能被实验验证过在水稻基因LOC_Os02g50550上？,LOC_Os02g50550基因在水稻组织中的表达模式，能简单讲解一下吗？
TRUE,LOC_Os02g50550,Can you provide details on the rice gene LOC_Os02g50550?,Can you tell me the subcellular location of LOC_Os02g50550 in rice?,What potential functions might the rice gene LOC_Os02g50550 have?,Which functions of the rice gene LOC_Os02g50550 have been validated by experimental studies?,Can you describe the expression patterns of the gene LOC_Os02g50550 across different rice tissues?
TRUE,LOC_Os02g50550,Can you tell me what the LOC_Os02g50550 gene is in rice?,Where does the LOC_Os02g50550 gene localize within the cell in rice?,Can you hypothesize the functions of the rice gene LOC_Os02g50550?,What specific functions of LOC_Os02g50550 in rice were confirmed through biological experiments?,What is the tissue-specific expression profile of the LOC_Os02g50550 gene in rice?
TRUE,LOC_Os02g50550,What is the rice gene LOC_Os02g50550?,Where is the gene LOC_Os02g50550 located at the subcellular level in rice?,What are the predicted functions of LOC_Os02g50550 in rice?,Can you identify the functions of LOC_Os02g50550 that have been experimentally validated in rice?,How is the LOC_Os02g50550 gene expressed in various rice tissues?
TRUE,LOC_Os02g50550,Please tell me about the rice gene LOC_Os02g50550.,Can you specify the subcellular location of LOC_Os02g50550 in rice?,What functions could LOC_Os02g50550 possibly serve in rice?,What roles of the rice gene LOC_Os02g50550 have been confirmed by lab experiments?,Could you summarize the expression patterns of LOC_Os02g50550 in rice tissues?
TRUE,LOC_Os02g50550,What exactly is the rice gene LOC_Os02g50550?,In which subcellular compartment is the rice gene LOC_Os02g50550 located?,What do you think the rice gene LOC_Os02g50550 might do?,Which functional aspects of LOC_Os02g50550 have been validated by experiments in rice?,What are the distribution patterns of LOC_Os02g50550 expression in rice tissues?
TRUE,LOC_Os02g50550,Can you describe the rice gene LOC_Os02g50550?,Where is LOC_Os02g50550 found within the cells of rice?,What functions might LOC_Os02g50550 have in a rice plant?,Which of the rice gene LOC_Os02g50550’s functions were confirmed through tests?,How does the gene LOC_Os02g50550 show up in different parts of the rice plant?
TRUE,LOC_Os02g50550,What is known about the gene LOC_Os02g50550 in rice?,Where does the LOC_Os02g50550 gene sit inside the rice plant’s cells?,What do you guess LOC_Os02g50550 does in rice?,What roles of LOC_Os02g50550 in rice have been backed by experiments?,Can you tell me where the LOC_Os02g50550 gene is active in rice?
TRUE,LOC_Os02g50550,Can you explain what the rice gene LOC_Os02g50550 is?,Where exactly in the rice cell is LOC_Os02g50550?,What roles might the rice gene LOC_Os02g50550 play?,What parts of LOC_Os02g50550’s job in rice are confirmed by experiments?,How does LOC_Os02g50550 gene work in different parts of the rice plant?
TRUE,LOC_Os02g50550,Tell me about LOC_Os02g50550 in rice.,Where is the rice gene LOC_Os02g50550 inside the cell?,Can you predict the functions of LOC_Os02g50550 in rice?,What functions of the LOC_Os02g50550 gene in rice have been proven by experiments?,How does the LOC_Os02g50550 gene express itself in rice tissues?
TRUE,LOC_Os02g50550,What does the rice gene LOC_Os02g50550 represent?,What’s the subcellular position of LOC_Os02g50550 in rice?,What could LOC_Os02g50550 be doing in rice?,What experimental evidence supports the functions of the rice gene LOC_Os02g50550?,What are the expression sites of LOC_Os02g50550 in rice tissues?
